,matchId,gameId,gameMode,gameVersion,championName,championId,teamPosition,win,allInPings,assistMePings,assists,baronKills,basicPings,champExperience,champLevel,championTransform,commandPings,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,dangerPings,deaths,detectorWardsPlaced,doubleKills,dragonKills,eligibleForProgression,enemyMissingPings,enemyVisionPings,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,gameEndedInEarlySurrender,gameEndedInSurrender,getBackPings,goldEarned,goldSpent,holdPings,individualPosition,inhibitorKills,inhibitorTakedowns,inhibitorsLost,item0,item1,item2,item3,item4,item5,item6,itemsPurchased,killingSprees,kills,lane,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,needVisionPings,neutralMinionsKilled,nexusKills,nexusLost,nexusTakedowns,objectivesStolen,objectivesStolenAssists,onMyWayPings,participantId,pentaKills,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,profileIcon,pushPings,quadraKills,role,sightWardsBoughtInGame,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,summonerLevel,teamEarlySurrendered,timeCCingOthers,timePlayed,totalDamageDealt,totalDamageDealtToChampions,totalDamageShieldedOnTeammates,totalDamageTaken,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionClearedPings,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,takedowns,goldPerMinute,damagePerMinute,baronTakedowns,dragonTakedowns,turretTakedowns.1,gameLength,killParticipation,visionScorePerMinute,jungleCsBefore10Minutes,enemyJungleMonsterKills,controlWardsPlaced,wardTakedowns,kda,teamDamagePercentage,maxCsAdvantageOnLaneOpponent,maxLevelLeadLaneOpponent,primaryStyle1,primaryStyle2,primaryStyle3,primaryStyle4,subStyle1,subStyle2
10,KR_7007069214,7007069214,CLASSIC,14.6.570.6276,Irelia,39.0,TOP,False,0,0.0,0,0,0,6924,10.0,0,6,5,0,0,0,11197,0,6,1.0,0,0,True,0,1,False,False,False,False,False,True,0,5909,4825.0,0,TOP,0,0,0,3153,1001,1055,1029,2022,0,3340,16,1.0,2,NONE,0.0,2,1,431,7926,1600,2482,0,0,0,0,0,0,0,1,6,0,35358,3150,12221,6504,0,0.0,SUPPORT,0,91,12,36,4,2,12,3,4,568,False,8,922,45780,4750,0,14848,1963,0,96,44,122,1.0,0,2495,0,144,0,0,2,0,0,7,1,0,5,2.0,384.2405969418868,308.87658417949046,0.0,0.0,0.0,922.7892081,0.25,0.5073437415487814,0.0,0.0,1.0,0.0,0.3333333333333333,0.2067408957536458,9.0,1.0,8008,9111,9104,8299,8473,8242
11,KR_6975893734,6975893734,CLASSIC,14.4.562.8237,Karma,43.0,UTILITY,False,0,11.0,12,0,0,13827,15.0,0,0,13,552,552,552,10804,0,7,8.0,0,0,True,14,2,False,False,False,False,False,False,1,10211,9450.0,0,UTILITY,0,0,5,3871,2065,2055,3118,3165,3158,3364,31,1.0,2,BOTTOM,0.0,2,1,508,42644,6819,13702,1,0,0,1,0,0,0,3,10,0,7443,1018,8356,5389,0,0.0,SUPPORT,0,72,12,93,34,6,14,4,4,318,False,12,2181,54003,8742,6046,22530,887,0,46,193,182,1.0,0,3915,904,472,1,1,11,0,0,74,10,4,40,14.0,280.86801962653993,240.46318973205013,0.0,0.0,1.0,2181.3455164,0.358974358974359,2.0567304138742206,0.0,0.0,8.0,4.0,2.0,0.0607946102936404,12.25,1.0,8229,8226,8210,8237,8345,8347
12,KR_7012299942,7012299942,CLASSIC,14.6.570.6276,LeeSin,64.0,JUNGLE,False,1,0.0,2,1,0,13085,15.0,0,0,10,2342,29284,2342,35158,0,10,8.0,0,1,True,0,0,False,False,False,False,False,True,2,12040,11325.0,0,JUNGLE,1,1,2,6333,6692,2055,3047,3071,1036,3340,32,1.0,7,JUNGLE,0.0,2,1,346,26112,1886,10749,0,120,0,1,0,1,0,2,7,0,87776,10853,27021,907,0,0.0,NONE,0,199,137,87,6,3,4,19,11,38,False,11,2006,177409,13614,50,39938,14695,0,15,252,266,1.0,0,63519,875,2166,2,2,9,0,0,25,9,2,14,9.0,360.0209163025399,407.09737803993846,1.0,3.0,2.0,2006.605908,0.391304347826087,0.751806463981249,44.00000002980232,3.0,7.0,2.0,0.9,0.1297032925218253,4.0,1.0,8010,9111,9104,8014,8347,8304
13,KR_6931694780,6931694780,CLASSIC,14.2.556.3141,Neeko,518.0,MIDDLE,True,0,5.0,7,0,0,12424,14.0,0,14,6,4906,8315,4906,8630,0,3,3.0,1,0,True,16,6,False,False,False,False,False,False,17,10221,8550.0,0,MIDDLE,0,1,0,1056,3152,4646,3020,1058,2055,3364,18,1.0,7,MIDDLE,0.0,6,2,573,79176,22591,6725,0,4,0,0,1,0,0,13,3,0,15352,1414,9149,4561,0,0.0,SOLO,0,80,91,59,8,4,12,3,4,325,False,43,1472,95497,24058,0,16187,3934,0,144,149,79,1.0,0,969,52,312,2,5,1,0,0,28,4,6,8,14.0,416.6096491488124,980.5654946756472,1.0,0.0,5.0,1472.1285272,0.4117647058823529,1.146955635348612,0.0,0.0,3.0,6.0,4.666666666666667,0.2765710935087644,19.0,1.0,8229,8226,8210,8237,8345,8347
14,KR_6986285922,6986285922,CLASSIC,14.5.565.1230,Ahri,103.0,MIDDLE,False,0,0.0,4,0,0,16472,16.0,0,0,2,5791,5791,5791,11259,0,6,0.0,0,0,True,0,0,False,False,False,False,False,True,3,11982,10850.0,0,MIDDLE,0,0,1,1056,3157,3118,4646,3020,1052,3364,19,1.0,6,MIDDLE,0.0,4,1,774,95634,17475,11983,0,0,0,0,0,0,0,0,8,0,14874,1346,8924,775,0,0.0,SOLO,0,76,94,29,45,3,12,3,4,73,False,16,1625,154518,21506,0,21576,4135,0,217,65,170,1.0,0,44009,2684,668,2,2,9,0,0,10,0,3,3,10.0,442.39007124817664,794.0334797045032,0.0,0.0,2.0,1625.1139968999998,0.4166666666666667,0.3713011385029772,0.0,0.0,0.0,3.0,1.6666666666666667,0.2749363026438372,57.0,4.0,8112,8139,8138,8106,8210,8226
15,KR_6916629934,6916629934,CLASSIC,14.2.555.1545,Shaco,35.0,JUNGLE,True,0,12.0,16,0,0,21110,18.0,0,8,5,100,52333,100,23040,0,9,4.0,0,2,True,3,2,False,False,False,False,False,False,3,14078,12800.0,0,JUNGLE,1,1,1,3153,6698,3035,6701,2022,3006,3364,28,1.0,4,JUNGLE,0.0,3,1,670,54580,9985,15163,0,183,0,0,0,0,0,19,7,0,180305,4097,34397,6,1,0.0,NONE,0,52,85,128,16,12,11,3,14,374,False,31,2579,295013,15033,0,50799,23442,0,33,732,296,1.0,0,60128,950,1238,0,1,9,0,0,34,4,4,5,20.0,327.50866402098194,349.719119722826,1.0,3.0,1.0,2579.1774739,0.3636363636363636,0.8012897200404996,48.000000059604645,1.0,4.0,4.0,2.2222222222222223,0.0806351920526009,13.400000005960464,1.0,9923,8143,8138,8105,8014,9104
16,KR_6951720592,6951720592,CLASSIC,14.3.558.8314,Zed,238.0,MIDDLE,False,0,1.0,1,0,0,6375,10.0,0,3,4,2125,2125,2125,3752,0,4,0.0,0,0,True,1,0,False,False,False,False,False,True,0,4541,4400.0,0,MIDDLE,0,0,0,0,6699,3134,1036,0,0,3340,12,0.0,1,NONE,0.0,0,1,390,1066,42,5232,0,0,0,0,0,0,0,1,8,0,27421,4090,3415,3378,0,0.0,SUPPORT,0,41,27,20,4,2,14,3,4,274,False,1,952,29844,4464,0,9244,0,0,78,26,91,0.0,0,1356,332,596,0,0,3,0,0,6,0,0,5,2.0,286.1134200075763,281.2887529387395,0.0,0.0,0.0,952.3082623,0.1666666666666666,0.4127485958561633,0.0,0.0,0.0,0.0,0.5,0.1353678721691952,5.0,1.0,8112,8143,8138,8106,8313,8316
17,KR_6997750793,6997750793,CLASSIC,14.6.569.5139,Amumu,32.0,JUNGLE,False,0,1.0,2,0,0,5372,9.0,0,0,3,0,14374,0,9097,0,2,2.0,0,1,True,6,0,False,False,False,False,False,True,0,5741,5050.0,0,JUNGLE,0,0,0,1103,3068,3047,1029,0,1029,3364,13,1.0,4,NONE,0.0,4,1,705,48226,4126,4677,0,78,0,0,0,0,0,1,2,0,12333,1230,10184,5091,0,0.0,SUPPORT,0,34,54,55,2,9,11,1,4,174,False,15,950,98288,6239,0,15120,7250,0,7,164,37,1.0,0,37729,882,259,0,0,1,0,0,13,2,3,5,6.0,362.4644988400692,393.9176337231575,0.0,1.0,0.0,950.4356179,0.5454545454545454,0.8804462744997099,50.00000008940697,0.0,2.0,3.0,3.0,0.183711253415504,4.000000029802322,1.0,8010,9111,9105,8299,8106,8126
18,KR_6947020649,6947020649,CLASSIC,14.3.558.8314,Warwick,19.0,JUNGLE,False,0,10.0,6,0,0,17990,17.0,0,16,3,2841,36591,2841,50437,0,10,1.0,0,2,True,2,1,False,True,False,False,False,False,21,16190,15450.0,0,JUNGLE,0,1,2,6610,3748,3153,3073,2019,3111,3364,28,4.0,12,JUNGLE,291.0,4,1,391,63662,12700,28107,3,153,0,1,0,1,0,8,2,0,164914,13984,41656,4568,1,0.0,NONE,0,115,17,36,13,6,4,19,11,567,False,37,2169,291702,28608,0,73375,40696,0,72,350,304,1.0,0,63126,1923,3611,1,2,9,0,0,22,2,1,3,18.0,447.7780873606754,791.224451765799,0.0,3.0,2.0,2169.4268306,0.3829787234042553,0.6339311204223125,50.00000002980232,2.0,1.0,1.0,1.8,0.1876660708136907,53.400000005960464,1.0,8008,9111,9104,8299,8139,8105
19,KR_6934293386,6934293386,CLASSIC,14.2.556.3141,Vex,711.0,UTILITY,False,0,4.0,4,0,0,7469,11.0,0,8,8,471,561,471,4917,0,2,6.0,1,0,True,0,0,False,True,False,False,False,True,7,8092,6900.0,0,UTILITY,0,0,1,3871,0,4632,4646,0,3020,3364,20,2.0,6,BOTTOM,0.0,3,2,639,26449,7220,1999,0,0,0,0,0,0,0,5,5,0,6975,1375,7016,3457,0,0.0,SUPPORT,0,46,12,29,7,4,14,3,4,496,False,20,1328,36981,9226,0,9218,1362,0,56,168,28,1.0,0,3556,630,202,0,0,8,0,0,54,6,6,28,10.0,365.6059298873764,416.7951523565725,0.0,0.0,0.0,1328.1455549,0.5882352941176471,2.4596868863788144,0.0,1.0,6.0,6.0,5.0,0.165628076543832,19.5,1.0,8112,8139,8136,8106,8345,8352
20,KR_6937983967,6937983967,CLASSIC,14.3.558.106,Renekton,58.0,TOP,True,0,12.0,13,0,0,21979,18.0,0,18,3,7657,7657,7657,54990,0,12,2.0,2,0,True,16,0,False,False,False,False,False,False,14,17025,15200.0,0,TOP,0,1,0,3161,3047,3071,6610,6333,1053,3364,31,2.0,12,TOP,268.0,4,2,328,11073,5403,26763,0,8,1,0,1,0,0,23,6,0,178065,28475,42573,29,0,0.0,SOLO,0,113,70,172,17,4,12,7,4,111,False,43,2335,205298,35157,0,73921,27217,0,218,75,407,1.0,0,16159,1278,4584,3,6,6,0,0,38,2,8,6,25.0,437.4425948181868,903.3083567072448,0.0,0.0,6.0,2335.218194,0.4464285714285714,0.98916034863675,0.0,4.0,2.0,8.0,2.083333333333333,0.1930956232689833,12.25,2.0,8010,9111,9104,8299,8473,8242
21,KR_6934326676,6934326676,CLASSIC,14.2.556.3141,Evelynn,28.0,JUNGLE,False,0,1.0,13,0,0,13062,15.0,0,3,4,0,12465,0,14440,0,2,3.0,1,1,True,1,0,False,False,False,False,False,True,0,11893,11575.0,0,JUNGLE,0,0,1,3152,4646,3100,1058,0,3020,3340,17,2.0,6,JUNGLE,0.0,4,2,1240,101770,16198,6342,0,132,0,0,0,0,0,4,2,0,12392,558,21689,4369,1,0.0,NONE,0,474,40,153,7,18,11,5,4,24,False,17,1813,168088,17070,0,29402,16989,0,7,336,36,1.0,0,53926,314,1369,0,0,7,0,0,23,3,1,12,19.0,393.4749921161987,564.7459904605221,0.0,1.0,0.0,1813.6580872,0.59375,0.7888221161013839,46.250000059604645,4.0,3.0,1.0,9.5,0.1884759792304032,4.000000029802322,1.0,8112,8143,8138,8105,8234,8232
22,KR_6966795284,6966795284,CLASSIC,14.4.562.8237,Teemo,17.0,JUNGLE,True,0,1.0,8,0,0,18906,18.0,0,2,1,8837,37419,8837,9148,0,5,0.0,0,0,True,2,0,False,False,False,False,False,False,0,13657,10400.0,0,JUNGLE,0,1,0,3118,6653,3115,1052,0,3020,3364,17,1.0,3,JUNGLE,0.0,3,1,429,179921,12012,2948,0,177,0,0,1,0,0,0,2,0,47898,1342,15783,6502,0,0.0,NONE,0,87,65,0,56,18,11,4,4,57,False,22,1675,316531,15389,0,19315,7415,0,92,979,154,1.0,0,88711,2034,584,4,5,3,0,0,19,0,1,4,11.0,489.06118025898,551.0829961109479,0.0,0.0,5.0,1675.5035629,0.3055555555555556,0.6937911427315508,55.500000059604645,10.0,0.0,1.0,2.2,0.1420920921715205,133.10000002384186,5.0,8128,8126,8138,8106,8347,8304
23,KR_7032381544,7032381544,CLASSIC,14.7.571.9528,Ezreal,81.0,BOTTOM,False,0,8.0,9,0,0,13111,15.0,0,5,1,1107,8812,1107,13039,0,5,0.0,1,0,True,5,1,False,False,False,False,False,False,3,12707,12475.0,0,BOTTOM,0,0,1,3161,3508,3035,3158,1037,3042,3363,26,2.0,8,BOTTOM,608.0,5,2,732,14498,9034,8002,0,7,0,1,0,0,0,1,9,0,149653,11580,17344,5212,1,0.0,CARRY,0,270,28,26,12,6,7,4,4,239,False,1,1948,166055,20875,0,25572,8856,687,205,25,134,3.0,0,1904,260,226,1,1,9,0,0,14,0,1,8,17.0,391.20259246735264,642.6307712959607,0.0,0.0,1.0,1949.0515608,0.3863636363636363,0.4385146935797381,0.0,0.0,0.0,1.0,3.4,0.1727548542321139,8.0,2.0,8005,8009,9103,8014,8345,8304
24,KR_6912813001,6912813001,CLASSIC,14.1.553.2414,Alistar,12.0,UTILITY,False,0,0.0,8,0,0,15021,16.0,0,2,9,1003,3327,1003,88057,0,8,5.0,0,0,True,0,1,False,True,False,False,False,False,0,10685,10025.0,0,UTILITY,0,0,1,3869,3143,1028,3047,3050,3075,3364,28,0.0,4,BOTTOM,66.0,0,1,946,25005,7196,5119,0,0,0,1,0,0,0,1,10,0,6531,1267,25849,4247,0,0.0,SUPPORT,0,51,45,59,10,5,14,9,4,171,False,51,2457,36566,11778,0,32864,9416,5026,31,174,268,5.0,0,5029,3315,1896,0,1,9,0,0,93,6,5,37,12.0,260.8668098715549,287.5453079936916,1.0,2.0,1.0,2457.7574436,0.3157894736842105,2.2822467688914463,0.0,0.0,5.0,6.0,1.5,0.0804486784653955,0.0,1.0,8439,8463,8473,8242,8347,8306
25,KR_6926288821,6926288821,CLASSIC,14.2.556.3141,Lux,99.0,UTILITY,True,0,0.0,11,0,0,7472,11.0,0,24,3,1127,2347,1127,7640,0,5,1.0,0,0,True,6,3,False,False,False,False,False,True,1,8208,7495.0,0,UTILITY,0,0,0,3871,1082,3020,4646,3145,3108,3364,18,0.0,4,BOTTOM,0.0,0,1,395,41260,18709,2287,0,0,0,0,0,0,0,0,10,0,4763,1685,10261,6376,0,0.0,SUPPORT,0,42,18,112,12,3,4,5,3,82,False,45,1336,48957,21115,1129,12761,1060,0,38,217,79,1.0,0,2934,720,212,1,2,1,0,0,45,1,1,23,15.0,368.3781372434867,947.5855620450084,0.0,0.0,2.0,1337.0064493999998,0.6521739130434783,2.05023228091291,0.0,0.0,1.0,1.0,3.0,0.2835298333515427,10.0,1.0,8128,8126,8138,8106,8226,8210
26,KR_6977853310,6977853310,CLASSIC,14.5.563.9790,Nautilus,111.0,UTILITY,False,0,1.0,10,0,0,9061,12.0,0,0,6,669,780,669,36279,0,14,2.0,0,0,True,1,2,False,False,False,False,False,False,0,7839,7775.0,0,UTILITY,0,0,1,3050,3190,2055,3869,3047,3082,3364,24,0.0,2,BOTTOM,0.0,0,1,273,11030,4323,16158,0,0,0,1,0,0,0,15,5,0,7966,1785,17480,5408,0,0.0,SUPPORT,0,31,34,36,7,6,14,9,4,123,False,37,1741,22088,6876,0,34750,168,0,27,318,322,1.0,0,3091,768,1111,0,2,9,0,0,50,3,7,18,12.0,270.09595522192984,236.93821410054557,0.0,0.0,2.0,1741.4273386,0.5714285714285714,1.73388688225503,0.0,0.0,2.0,7.0,0.8571428571428571,0.099849130718227,16.0,1.0,8439,8401,8444,8451,8347,8306
